metin,kategori
neymar 92 milyon euro ya barcelona da roberto carlos ve sky italia neymar için santos ve barcelona nın anlaştığını söyledi fenerbahçe nin eski futbolcusu roberto carlos neymar ın barcelona ile yüzde 90 anlaştığını öne sürdü carlos neymar ile konuştum sanırım barcelona ile yüzde 90 anlaştı dedi sky italia kanalı ise barcelona nın bu futbolcu için 92 milyon euro ya santos ile anlaştığını duyurdu katalanların eski hocası pep guardiola nın gelecek sezondan itibaren çalıştıracağı b münih de neymar ı istiyordu 2007 de r madrid ronaldo için m united e 94 milyon euro ödemişti,spor
abd mhp dosyası için ek bilgi istedi i nternette yayınlanan ve mhp li 10 yöneticinin istifasına neden olan kasetlerle ilgili gelişme var soruşturma dosyasına abd den 9 ay sonra yanıt geldi soruşturma ilk olarak özel yetkili savcılık tarafından mayıs 2011 de başlatılmıştı görüntülerin yayınlandığı siteler incelendi www farklıulkuculuk com un abd üzerinden yayın yaptığı tespit edildi savcılık abd li makamlara sorular gönderdi yazıda site yayınlarını abd den mi yapıyor ip adresi abd nin hangi bölgesinden geliyor sitenin alan ismi hangi tarihte alındı site hangi şahıs ya da kurum adına satın alındı i brahim faruk bayındır isimli şahıs tarafından sitenin alan adına herhangi bir para ödendi mi soruları yöneltildi yaklaşik 9 ay sonra cevap geldi özel yetkili savcılık yerine kurulan terörle mücadele savcılığına gönderilen yazıda sorulara yanıt yok amerika daki adli makamlar türkiye ye gönderilen yazıdaki bilgilerin yeterli olmadığını eksik bilgilerin bulunduğunu belirterek soruşturma dosyasına ilişkin detaylı bilgi istedi seda kiliç,genel
kilolarınızdan su ve sağlıklı yağ ile kurtulun prof dr canan karatay ezber bozdu trans yağlardan kurtulmanın önemine dikkat çeken karatay sızma zeytinyağı ve köy tereyağıyla yemeklerinizi uygun yöntemlerle pişirdiğiniz ve günde 2 2 5 litre su içtiğiniz takdirde kilo vermemeniz için sebep yok dedi türkan yilmazer kilo vermek isterken yağ kullanımı nasıl olmalı 1980 lerde araştırmalar çarpıtılarak ya da sonuçlar bilim dünyasından saklanarak yağlar kalp krizi yapıyor diye bir doğma çıkartıldı kalp krizini yağlar yapıyor hatta kolesterolü yağlar yükseltiyor sonucunu paylaştılar dünyayla yiyeceklerden sağlıklı yağları azaltınca tatları kalmadı insanları tok tutan tahıla ağırlık verildi yani karbonhidratlar gizli şekerler girmeye başladı bütün yiyeceklerin içine konulmaya başlanan şekerler özellikle früktoz yani meyve şekeri müthiş bağımlılık yapar her şeyin içine hatta tuzlu yiyeceklere ekmeklere bile meyve şekeri ve mısır şurubu katılmaya başlandı bundan sonra görüldü ki obezite bütün hastalıklar azalmadığı gibi artıyor şimdi gösterildi ki maalesef vücut bu şekerli suları enerji olarak kullanamıyor öyle programlanmamışız ben bir kardiyoloji profesörüyüm bütün kardiyologlar bilir ki şu bel çevresi biraz artınca kalp krizi riski artar bunu da artıran karaciğer ve göbek yağlanmasıdır yani iç organların yağlanmasıdır siz zeytinyağını öneriyorsunuz zeytinyağı anne sütünde olan bütün faydalı öğeleri içeriyor bu bağlamda zeytinyağı doğanın yetişkinlere bahşettiği bir ana sütüdür tabii rafine olmayacak rivyera olmayacak doğal soğuk sızma olacak yine doğal omega 3 yağları sağlıklı doğmamıza büyümemize ürememize ve yaşamamıza yardımcı olurlar kilo almayı obeziteyi önler kilo vermeyi hızlandırırlar bazen medyada çıkıyor ya ağır bir yemekten sonra çok yağlı yedi sonra kalp krizi geçirdi kalp krizinin sebebi aslında çok aşırı karbonhidrat ve tatlı tüketmeleridir yağlar değildir karbonhidrat ekmek ve tatlı aniden kan şekerini yükseltir bu da insülin hormonunu yükseltir aniden yükselen insülin kan basıncını yani tansiyonu fırlatır ani yükselen kan şekeri de direkt olarak serbest oksijen radikallerini yükseltir kanda serbest oksijen radikalleri de endotel dediğimiz damar içini kaplayan ince tabakanın bozulmasına neden olur kalp krizi ve inmeyi ağır karbonhidrat ve tatlı yemelerinin ardından bu yüzden geçiriyor insanlar fenerbahçelileri koşturacak formül prof dr canan karatay koyu bir fenerbahçe taraftarı maçları mutlaka takip ettiğini söyleyen karatay futbolcuların ilk yarı performanslarının daha yüksek ikinci yarı daha düşük olmasına üzüldüğünü belirtti yüksek glisemik indeksli yiyeceklerden alınan kalori toksiktir boştur bu kalori size iki saat enerji sağlar tam doping etkisi yaratır ama biter bitmez eliniz ayağınız kesilir gözünüz kararır halsizleşirsiniz koyu fenerbahçeliyim i lk 45 dakika birinci yarıyı çok güzel oynarlar futbolculara maçtan önce müthiş makarna yediriyorlarmış bu makarnanın ardından ilk 45 dakika gayet güzel koşuyorlar sonra ikinci yarıya çıkıyorlar koşacak halleri yok enerjisini daha az kullandığı için takımı volkan kurtarıyor ama uzatmalarda o da bitkin düşüyor 2 gol yiyor oysa tenisi seyredin 8 saat teke tek oynuyorlar onlar hayat boyu sağlıklı protein ve sağlıklı yağ ile besleniyorlar abd de sporculara öyle bir et ve öyle bir yağ çıkar ki ve su içerler öyle toksik şekerli içecekler içmezler saf karbonhidratla beslenmiyorlar bizim futbolcular da et yumurta ile yağ beslenirlerse 90 dakika kurtarılır 1 örnek mönü 08 00 09 00 karatay kahvaltı tabağı 13 00 14 00 anneannemin tarhana çorbası kimyonlu köfte cevizli kereviz salatası 18 00 19 00 ciğer ve yürek yahnisi yeşil soğanlı yoğurt sosu brokoli salatası 2 örnek mönü 08 00 09 00 karatay kahvaltı tabağı 13 00 14 00 fırında bıldırcın cevizli kısır yoğurtlu semizotu salatası 18 00 19 00 kırmızı mercimek çorbası kişniş kaplı balık taze enginar salatası öğünler arası 4 5 saat geçirin sabahlari kuvvetli ve proteinli kahvaltı yapılması şart öğünler arasında en az 4 5 saat geçirin günde 3 öğünden fazla yemek yemeyin ara öğünleri kaldırın öğünler arasında bol limonlu su limonlu şekersiz çay ve ayran içebilirsiniz her gün 2 3 litre sıvı almaya dikkat edin akşam saat 20 00 den sonra hiçbir şey yemeyin leptin hormonu en yoğun gece çalışır her gün en az 40 60 dakika yürüyün sevdiğiniz bir fiziksel aktiviteyi yapın doğal yiyeceklerle her gün sindirim sisteminizin sisteminizin çalışmasına dikkat edin yemekleri yüksek ısıda ve terbiye yaparak pişirmeyin kısık ateşte uzun sürede pişirin yemek yapılırken malzemeleri çiğ olarak hep birlikte pişirilecek kaba koyup pişirin önceden soğanı öldürme unla kavurma ya da kızartma yapmayın blender ve mikser tercih etmeyi lifleri yok edip gıdaları sağlıksız hale dönüştürüyor ketentohumu yağı ve balıkyağı omega 3 kan yağlarını düzenler kanı sulandırır kilo vermeyi kolaylaştırır kilo almayı önler hipertansiyon ve depresyon gelişmesini engeller kırmızı et türkiye de kanser yapmaz prof dr canan karatay kırmızı etin kanser yaptığına dair araştırma yapılan ülkelerde çok iri sığır domuz ve buffalo tüketildiğini söyledi karatay kesim tekniği pişirme yöntemi ve hangi hayvanın tüketildiğinin kanser oluşumuna zemin hazırladığını ifade ederek türkiye de geleneksel olarak keçi kuzu doğal beslenen dana ve koyunların etleri tüketilmektedir bu hayvanların kanı akıtılarak kesilmesi de onları sağlıklı kılar ancak sağlıklı etleri plastik poşet içinde pişirmek de zararlıdır 24 saatte ne yiyor içiyor karatay günlük beslenme düzenini de şöyle anlattı sabah 05 30 gibi kalkarım kahvaltıda mutlaka yumurta yerim tereyağına ya da zeytinyağına kırarım hafta sonu pastırmayla yerim yanında peynir yerim her gün 20 dakika yürürüm acıkmadığım sürece bütün gün bir şey yemem yanımda ceviz fındık fıstık kuru kayısı ya da incir var acıkırsam onları tüketirim o kadar akşam 17 00 ila 19 30 arasında yemeğimi yerim akşam yemeklerinde balık et pirzola ya da lahmacun yanında sebze bol salata kısır yaparım 20 00 den sonra evde bir şey yenmez sadece su içeriz en çok öğrenciler ekmek israf ediyor samsun valisi hüseyin aksoy türkiye de günde 6 milyon yılda ise 2 1 milyar ekmeğin israf edildiğini söyledi samsun valisi hüseyin aksoy türkiye genelinde toprak mahsulleri ofisi tmo tarafından yürütülen ekmek i srafını önleme kampanyası kapsamında tanıtım toplantı düzenledi türkiye nin ekmek israf oranının yüzde 5 9 olduğunu belirten vali aksoy öğrenci yemekhanelerinde israf oranının yüzde 7 1 kamu kurum ve kuruluşlarının yemekhanelerinde ise yüzde 2 7 olduğunu bildirdi ayrıca vali aksoy ekmek israfının ülkemize yükü yıllık 10 milyar 546 milyon tl dir dedi bi tti,saglik
acıbadem bayanlar voleybol ligi nde haftanın görünümü acıbadem bayanlar voleybol ligi nde 1 etabın son 4 haftasına girilirken vakıfbank liderliğini koruyor bu hafta yapılan maçların ardından vakıfbank 55 20 puan ve maç fazlasıyla 1 sıradaki yerini korurken eczacıbaşı vitra 50 90 puan ve maç eksiğiyle ikinci galatasaray daikin ise 41 80 puan ve maç eksiğiyle üçüncü sırada yer aldı 1 etabın 30 31 mart tarihlerinde oynanacak maçlarla son bulacağı ligde ilk 8 takım play off lara yükselecek son iki sırayı alan takımlar ise bir alt lige düşecek ligde şu an bakırköy belediyesi yeşilyurt ile i ba kimya ted kolejliler düşme hattında yer alıyor acıbadem bayanlar ligi nde geçen haftanın maç sonuçları son puan durumu ve haftanın maç programı şöyle maç sonuçları ereğli belediyesi eczacıbaşı vitra 0 3 sarıyer belediyesi galatasaray daikin 1 3 vakıfbank bursa büyükşehir belediyesi 3 2 i ba kimya ted kolejliler vakıfbank 0 3 bursa büyükşehir belediyesi i lbank 3 0 nilüfer belediyesi ereğli belediyesi 3 0 eczacıbaşı vitra beşiktaş bahçeşehir üniversitesi 3 0 sarıyer belediyesi bakırköy belediyesi yeşilyurt 3 0 puan durumu takımlarogmasvspgptp1 vakıfbank18180547523 2055 202 eczacıbaşı vitra17161498482 9050 903 galatasaray daikin171344118392 8041 804 fenerbahçe161153719322 3034 305 bursa büyükşehir bld 188103135231 8024 806 beşiktaş bahçeşehir ünv 17892633240 8024 807 sarıyer belediyesi17893037220 0022 008 i lbank175122439171 8018 809 ereğli belediyesi186122440180 3018 3010 nilüfer belediyesi175122139161 2017 2011 bakırköy bld yeşilyurt185132245152 0017 0012 i ba kimya ted kolejliler18117125160 706 7 haftanın maç programı 6 mart çarşamba 17 30 fenerbahçe nilüfer belediyesi i stanbul burhan felek 10 mart pazar 12 00 beşiktaş bahçeşehir üniversitesi nilüfer belediyesi i stanbul akatlar 14 00 i lbank i ba kimya ted kolejliler ankara başkent 16 00 bakırköy belediyesi yeşilyurt bursa büyükşehir belediyesi i stanbul yeşilyurt 20 30 fenerbahçe sarıyer belediyesi i stanbul burhan felek bu arada 9 10 mart tarihlerinde galatasaray daikin in ev sahipliğinde yapılacak avrupa bayanlar şampiyonlar ligi dörtlü finalleri nedeniyle 10 mart pazar günü yapılması planlanan vakıfbank eczacıbaşı vitra ile ereğli belediyesi galatasaray daikin maçları ertelendi,spor
çakır hollanda i talya maçını yönetecek fifa kokartlı türk hakem cüneyt çakır hollanda ile i talya a milli futbol takımları arasında 6 şubat çarşamba günü oynanacak hazırlık karşılaşmasını yönetecek türkiye futbol federasyonu ndan alınan bilgiye göre hollanda futbol federasyonu nun özel daveti üzerine amsterdam arena da tsi 21 30 da başlayacak maçta düdük çalacak cüneyt çakır ın yardımcılıklarını bahattin duran ile tarık ongun yapacak karşılaşmanın dördüncü hakemi ise türk asıllı hollandalı hakem serdar gözübüyük olacak hollanda i talya hazırlık maçı cüneyt çakır ın uluslararası arenada yöneteceği 74 a milli takımlar düzeyinde ise düdük çalacağı 18 karşılaşma olacak çakır ın kariyerinde görev aldığı önemli uluslararası turnuva ve karşılaşmalar ise şöyle 2006 2007 uefa 19 yaş altı avrupa şampiyonası 2008 2009 uefa ümitler avrupa şampiyonası yarı finali 2009 2010 uefa avrupa ligi yarı final ikinci maçı 2011 fifa 20 yaş altı dünya kupası 2011 2012 uefa şampiyonlar ligi yarı final ikinci maçı euro 2012 grup ve yarı final maçları 2013 fifa dünya kulüpler kupası açılış ve final maçları,spor
bu kasaba geceyi dışarıda geçirdi i talya nın toskana bölgesindeki castelnuovo garfagnana kasabasında dün akşam büyük deprem olacak endişesiyle insanlar geceyi dışarıda geçirdi toskana bölgesinin kuzeybatısında bulunan castelnuovo garfagnana da 25 ocak cuma günü yaşanan 4 8 büyüklüğündeki depremin ve artçılarının yol açtığı panik devam ediyor castelnuovo garfagnana belediyesi nin dün akşam sularında sosyal paylaşım siteleri üzerinden yaptığı geceyi dışarıda geçirin uyarısı bin kadar kişinin deprem endişesiyle geceyi okullarda spor salonlarında ve dışarıda geçirmelerine neden oldu sky tg 24 kanalına konuşan garfagnana belediye başkanı lucio gaddi belediye başkanlarına sivil savunmadan bölgesel bir deprem uyarısı geldiğini aktararak halkı uyarmaya karar verdiklerini söyledi yapılan uyarının bir alarm olup olmadığı sorulan gaddi halkı korumak için böyle bir adımın atılmasına ihtiyaç vardı buna halk da iyi karşılık verdi hemen acil durum alanlarına geldi i yi bir egzersiz oldu dedi,guncel
prostata buharlı çözüm düzce üniversitesi dü araştırma ve uygulama hastanesi nde ilk kez bir hasta üzerinde denenen plazmakinetik cihazı sayesinde prostat hastaları artık buharlaştırma yoluyla kansız bir şekilde tedavi ediliyor üroloji anabilim dalı nda görevli prof dr enver özdemir gazetecilere yaptığı açıklamada hastaların tedavisinde kullanılan plazmakinetik cihazının dü tarafından yeni alındığı ve başarılı sonuçlar verdiğini aktardı prostatın erkeklerde yaşın ilerlemesiyle büyüdüğüne dikkati çeken özdemir 50 yaş üstü erkeklerin üçte birinde idrar kanalını tıkayarak böbreklerde çürümeye neden olduğunu aktardı özdemir bunun cerrahi tedaviyi zorunlu kıldığını anlatarak daha önce kanamalı ve zor olan ameliyat plazmakinetik cihazıyla kapalı olarak buharlaştırma işlemiyle kansız ve sorunsuz bir şekilde uygulanmaya başlanmıştır dedi vücuttan elektrik akımının geçmediğine dikkati çeken özdemir kan biyokimyasının bozulmadığını bu nedenle kansız tedavi uygulandığını anlattı cihazın kapalı mesane kanseri buharlaştırması tedavisinde de kullanıldığına işaret eden özdemir bu cihazın hem açık kanser cerrahisinde hem de laparoskopik tedavide kullanılabilecek üniteleri vardır ayrıca idrar kanalı tıkanıklarını buharlaştırarak tedavi eden üniteye de sahiptir diye konuştu özdemir kalp riski olan kan sulandırıcı alan ve kanama bozukluğu olan yaşlılarda rahatlıkla kullanılabileceğini kaydetti,saglik
kanadalı bakan konteynır kenti ziyaret etti kilis vali süleyman tapsız ı makamında ziyaret eden kanada vatandaşlık göç ve çok kültürlülük bakanı jason kenney kent hakkında bilgi aldı bakan daha sonra ülkelerindeki iç savaştan kaçan suriyeliler in barındığı konteynır kente geçti okul öncesi eğitimin verildiği kreşi gezen kenney öğrencilerin türkçe ve arapça şarkılarını dinledi suriyelileri dinleyen bakan jason kenney yaptığı basın toplantısında şunları söyledi buradaki hizmetlere hem sosyal hem hem ekonomik hem eğitim açısından hepsi düşünülmüş biliyorum ki burada hayat kolay değil her şey düşünülmüş burası kısa vadeli bir sığınak kadar kapsamlı olduğundan etkinlendim kanada olarak kızılay aracılığı ile 1 5 milyon dolarlık bir ön yardım yapılacaktır ürdün lübnan suriye nin içerisinde vatandaşlara yardım yapıldı türkiye büyük bir yük taşıyor buraya bir şekilde yardımcı olmamız gerekiyor reşit çelebi oğlu ki li s dha,dunya
pegasus uçağına bomba ihbarı paris ten i stanbul a gidecek pegasus havayollarına ait bir uçağa bugün bomba ihbarı yapıldı orly havalimanında bomba ihbarının ardından i stanbul a hareket edecek olan ve içinde 146 yolcusu bulunan uçak boşaltıldı telefonla yapılan ihbarın ardından boşaltılan uçakta bomba arama ekiplerinin arama yaptığı bildirildi,guncel
jimmy briand forvet arayışlarına hız veren beşiktaş lyon un 27 yaşındaki yıldızı jimmy briand ı gözüne kestirdi fransızların ünlü spor gazetesi l equipe siyah beyazlıların bu transfer için istekli olduğunu yazdı gülşah özyilmaz feda sezonunda gösterdiği performans ile taraflı tarafsız herkesin beğenisini kazanan beşiktaş forvet arayışlarında fransa nın kapısını aşındırmaya devam ediyor uzun süre psg den nene yi transfer etmek için girişimlerde bulunan kartal brezilyalı oyuncunun sürekli fiyat yükseltmesi üzerine rotasını lyon un yıldızı jimmy briand a çevirdi ünlü spor gazatesi l equipe de beşiktaş briand i istiyor haberiyle kartal ın bu transfer girişimini doğruladı kanatta süratli rennes formasıyla parlayan siyahi yıldıza france football dergisi yeni henry benzetmesi yaptı briand kanattaki süratiyle ve oyun stiliyle efsanevi futbolcuyu oldukça andırıyor i ki yıl önce 7 4 milyon euro karşılığında rennes den lyon a transfer olan briand geçen sezon 37 maçta 9 gol attı sakatlandıktan sonra formasını lacazette ye kaptıran yıldız golcü bu sezon hiçbir maçta 90 dakika sahada kalamadı 10 maçta 1 gol atıp 1 de asist yapan briand ın kulübüyle 2014 e kadar sözleşmesi bulunuyor bu sezon ligde sadece 415 dakika forma şansı bulan briand yedek kalmaktan sıkıldığı için takımdan ayrılmaya sıcak bakıyor 4 mi lyon euro lyon un briand için 4 milyon euroluk bir teklife evet diyeceği iddia ediliyor bu transferin önündeki tek engel ise beşiktaş teknik direktörü samet aybaba nın bonservisi elinde olan futbolcu alacağız ifadesi ama kulübe yakın kaynaklar siyah beyazlı ekibin jimmy briand ı ilk olarak sezon sonuna kadar kiralayabileceğini belirtiyorlar görkemli açılış beşi ktaş ürünlerinin satıldığı kartal yuvası mağazası antalya konyaltı nda açıldı açılışa yöneticilerden ahmet nur çebi ahmet kavalcı metin albayrak teknik direktör samet aybaba ve futbolculardan i brahim toraman necip ve holosko katıldı siyah beyazlı taraftarlar açılışa yoğun bir ilgi gösterdi toraman her zaman zirveye beşi ktaş kaptanı i brahim toraman ikinci yarı öncesi iddialı konuştu beşiktaş her zaman şampiyonluk yarışının içinde olur i lk yarıdaki maçlarda neler yapabileceğimizi herkes gördü takımın kendine güveni olduğunda bunu sahaya yansıtabiliyor beşiktaş ın hedefi her zaman şampiyonluktur baskı altında stres yaşamazsak şampiyon oluruz gençler adana karşısına çıkıyor si yah beyazlılar antalya kampında bugün ptt 1 lig ekiplerinden adanaspor ile hazırlık maçı yapacak emirhan tesisleri ndeki karşılaşma 17 00 de başlayacak samet aybaba bu karşılaşmada forma şansı bulmayan oyunculara şans verecek,spor
