sorgu|1st|2nd|3rd|4th|5th
Doğu Anadolu Bölgesi'nde tarım alanlarının kapladığı yüzölçümü ne kadardır?|Doğu Anadolu Bölgesi|Tarım|Güneydoğu Anadolu Bölgesi|Anadolu Selçuklu Devleti|Durağan
Bu metinde hangi Mısır tanrılarından bahsedilmektedir?|Antik Mısır|Aşağı Mısır|El-Hevemdeyye|1952 Mısır Devrimi|Mısır Kupası
Terry Gilliam hangi filmin çekimlerini tamamlayamadan askıya almıştır?|Terry Gilliam|It Comes at Night|Ben-Hur (film, 2016)|Feryada Gücüm Yok|Programlama dili
Avrupa Jeologlar Federasyonu, bugün 70.000'den fazla jeologu temsil eden bir organizasyon mudur?|İslam'ın nüfus yapısı|Mikro-|Çince|Avrupa'da konuşulan diller|Brüksel Antlaşması (1965)
Metinde, Mustafa Kemal Atatürk'ün kişisel özellikleri, ilgi alanları, giyim tarzı, dil bilgisi, aile ilişkileri ve aşk hayatı hakkında bilgiler verilmiştir. Ayrıca, Atatürk'ün dönemindeki siyasi ve bilimsel ilişkileri de açıklanmıştır.|Mustafa Kemal Atatürk|Konya Atatürk Evi Müzesi|İzmir Atatürk Müzesi|Cemal Granda|Mustafa Kemal Atatürk'ün askerî kariyeri
 Musul Sorunu, Türk-Yunan ilişkileri ve Türkiye'nin Milletler Cemiyeti'ne katılımı hakkında metinden ne anlaşılıyor?|Türkiye|Avrupa Komşuluk Politikası|Ülkeler listesi|Hristos Dandis|Helenleştirme
Eretna Beyliği hangi yıllar arasında hüküm sürmüştür?|Eretna Beyliği|Periplus Maris Erythraei|Mehmedoğlu Hızır Bey|Programlama dili|Güneri Bey
Hangi şirketi kurarak Francis Ford Coppola ile çalışmaya başlamıştır?|Ford Falcon (Avustralya)|Ford Duratorq motoru|George Lucas|Haydar Yenigün|Francis W. Nye
Metinde Zazaca dilindeki fiil takıları ile ilgili neler söylenmektedir ve bu takılar nasıl oluşmuştur?|Zazaca|Alkıma|Khwe|Okçular, Kovancılar|Flamedramon
İstiklâl Marşı kaç dörtlük ve kaç beşlikten oluşur?|İstiklâl Marşı|Gönüllüler Marşı|Aegukka|Mehmet Ali (asker)|Albüm satış sertifikası
Eğer Cengiz Han 1162 yılında doğmuşsa, ölüm tarihi nedir?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Kasım Han
Mustafa Kemal'in cumhuriyet döneminde gerçekleştirdiği önemli değişiklikleri ve devrimleri özetleyiniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|Cumhuriyet için Seferberlik Buluşması|İsmet İnönü
Antropoloji neyi inceler?|Antropoloji|Tıbbi antropoloji|Marcel Mauss|Kemikbilim|E. E. Evans-Pritchard
Microsoft Windows Server 2022'nin genişletilmiş destek bitiş tarihi ne zamandır?|Microsoft Windows|Windows Messenger|Windows 8|MacOS Server|Windows Live Gallery
Hangi ülkenin parlamentosu, Ermeni Soykırımı'nı tanıyan bir tasarıyı oy çokluğuyla kabul etti|1999 Finlandiya'da Avrupa Parlamentosu seçimleri|Anneli Jäätteenmäki|Devredilemez tek oy|Naregavank|Višegrad Katliamı
Lozan Antlaşması'nın imzalanması ve Cumhuriyetin ilanı süreçleri hakkında bilgi veriniz.|Küçük gruplarda iletişim|Brüksel Antlaşması (1965)|Yerli, Terme|Kırım Cumhuriyeti|Mustafa Kemal Atatürk
Mustafa Kemal'in liderliğindeki milliyetçi hareketin gelişimini özetleyiniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|1927 Türkiye cumhurbaşkanlığı seçimi|41. Türkiye Hükûmeti
Celaleddin Harezmşah, Cengiz Han'ı hangi tarihte İndus nehri sahilinde karşıladı?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Liffey Nehri
Barış Manço ve Moğollar'ın birleşmesiyle oluşturdukları grup hangi adı almıştır?|Barış Manço|Renkli Rüyalar Oteli|Gandhi Barış Ödülü|Cem Karaca'nın Apaşlar, Kardaşlar, Moğollar ve Ferdy Klein'a Teşekkürleriyle|2020 Yaz Olimpiyatları'nda eskrim - Kadınlar kılıç
Bir dilin ölümü, o dilin artık konuşulmadığı anlamına mı gelir?|Dil|Khwe|Nagyszentmiklós Hazinesi|Ürüng Ağar Toyon|Akalkuli
Anıtkabir derneği ne zaman kurulmuştur?|Anıtkabir|Zaman aşımı|Cumhuriyet için Seferberlik Buluşması|Doğan Güneşspor|Hilary Swank
İsmet İnönü'nün Türkiye'deki görevleri nelerdir?|Kümbet, İnönü|İsmet İnönü|Mevhibe İnönü|Ömer Evci|Karamağara Köprüsü
Fikir Kulüpleri Federasyonu'nun dönüşümü hangi dergi ile koordine edilmiştir?|KF Egnatia|Standard AC|Ballinamallard United FC|Aris Lemesu|CG Tarragona
2001'deki Köln Başkonsolosluğu mesajında, Anıtkabir'e gerçekleştirilmek istenen saldırının planlandığı tarih belirtilmemiş olsa da, 11 Eylül saldırılarından kaç gün sonra bu mesaj Dışişleri Bakanlığına iletildi?|Anıtkabir|Taner Yalçın|Köln Katedrali|Faruk Kaymakcı|Ferhat Kıskanç
İsmet İnönü'nün ölüm tarihi nedir?|Kümbet, İnönü|İsmet İnönü|Mevhibe İnönü|Ömer Evci|Social Security Death Index
Osmanlı İmparatorluğu'nun başkenti Konya mıdır?|Atina Antlaşması (1913)|Düyûn-ı Umûmiye|Hüsnü Tuna|Yergöğü Mütarekesi (1772)|Lasva Muharebesi
Hangi Windows sürümü, ilk defa 32 bit işlemcilere geçiş yapmıştır?|Microsoft Windows|Windows 8|Windows Messenger|Windows Live Gallery|Wine
